Unnamed: 0,quote,author,tags,likes,sentiment,normalized_likes
0,"When I say it's you I like, I'm talking about that part of you that knows that life is far more than anything you can ever see or hear or touch. That deep part of you that allows you to stand for those things without which humankind cannot survive. Love that conquers hate, peace that rises triumphant over war, and justice that proves more powerful than greed.",Fred Rogers,"love,friendship,freedom",2657.0,0.2409,0.01719672640629856
1,"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,"life,love,truth",154449.0,-0.9126,1.0
2,"You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",William W. Purkey,"life,love,inspiration",121171.0,0.9062,0.7845358955765047
3,You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,"love,dreams,reality",117978.0,0.8689,0.7638622707966435
4,A friend is someone who knows all about you and still loves you.,Elbert Hubbard,"love,truth,friendship",79981.0,0.7845,0.5178441935149695
5,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,"Martin Luther King Jr., A Testament of Hope: The Essential Writings and Speeches","love,inspiration,people,freedom,light",74180.0,0.5003,0.4802846265409717
6,We accept the love we think we deserve.,"Stephen Chbosky, The Perks of Being a Wallflower","love,inspiration",68365.0,0.7783,0.4426344141717601
7,"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.",Bob Marley,love,55713.0,0.9990000000000001,0.3607168755827204
8,It is better to be hated for what you are than to be loved for what you are not.,"André Gide, Autumn Leaves","life,love",56788.0,0.3818,0.3676771470009324
9,"As he read, I fell in love the way you fall asleep: slowly, and then all at once.","John Green, The Fault in Our Stars",love,45440.0,0.6369,0.2942025795089609
10,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,"love,philosophy,inspiration",40039.0,0.9496,0.25923288096964675
11,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"love,friendship,women",40024.0,0.22399999999999998,0.2591357609033461
12,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.","Pablo Neruda, 100 Love Sonnets","love,poetry",37767.0,0.9447,0.24452242826064435
13,"Love all, trust a few, do wrong to none.","William Shakespeare, All's Well That Ends Well","love,trust",35873.0,0.6597,0.2322594012224179
14,Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,"Neil Gaiman, The Kindly Ones",love,35346.0,-0.5649,0.22884724955972235
15,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,"love,strength",32931.0,0.9409,0.21321091888532065
